product id,review_text
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop","To move between items, use your keyboard's up or down arrows."
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop","Acko 1 Year Extended Warranty for Laptops from Rs 40,000 to Rs 60,000 (E-mail delivery)"
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",Plan is valid up to 1 year post manufacturer comprehensive warranty ends.
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",Plan is email delivered and auto activated if purchased along with appliance on Amazon.
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop","Wear and tear, theft, accessories, intentional damages, and brand warranty exclusions are not covered."
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",How to claim: Option A: Go to Acko.com >> Enter your mobile number >> file claim. Option B: Download Acko mobile app >> Enter your mobile number >> file claim. Option C: Go to Your Orders on Amazon app >> Get Product Support >> Schedule a repair.
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",This price is exclusively for Amazon Prime members.
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",Includes initial monthly payment and selected options.
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",The enhancements that you chose are not available for this seller.
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop","To add the following enhancements to your purchase, choose a different seller."
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",${cardName} not available for the seller that you chose
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",${cardName} unavailable for quantities greater than ${maxQuantity}.
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop","At checkout, you can add a custom message, a gift receipt for easy returns and have the item gift-wrapped"
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",OneAssist 2 Years Total Protection Plan for Laptop Between INR 40001-50000 (E-Mail Delivery Only)
"hp-victus-15fd0572TU, FHD Camera w/Shutter, Backlit Laptop",Total Protection: Secure your Laptops from any accidental and liquid damage or electrical/mechanical failure for an extended period - digitally delivered in your registered e-mail within 24 hours with an easy 2-step activation process and a completely digital journey for the user
